Using primary device: cuda:0
Loading fine-tuned model from Qwen/Qwen2.5-1.5B-Instruct...
`torch_dtype` is deprecated! Use `dtype` instead!
Fine-tuned model loaded
Detected 2 GPUs

Starting RL fine-tuning using M3PO (Multi-Path Perception Policy Optimization)...
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: alienpenguin (alienpenguin-inc) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run dhtwwnog
wandb: Tracking run with wandb version 0.24.0
wandb: Run data is saved locally in /mnt/vurm/homes/homes/vk545/Neuralese/M3PO/wandb/run-20260214_173959-dhtwwnog
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run M3PO kl_divergence
wandb: ⭐️ View project at https://wandb.ai/alienpenguin-inc/latent-space-reasoning
wandb: 🚀 View run at https://wandb.ai/alienpenguin-inc/latent-space-reasoning/runs/dhtwwnog
Weights & Biases initialized.
[M3PO] Training with cross-path interaction: lambda=0.1, temp=0.1
[M3PO] Using kl_divergence gating function with config: {'temperature': 0.1, 'debug': False}
Model wrapped with DataParallel across GPUs: [0, 1]

Iteration 1/1
/homes/vk545/Neuralese/miniconda3/envs/ant/lib/python3.11/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Iteration 1/1, Step 150/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 151/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 152/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 153/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 154/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 155/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 156/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 157/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 158/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 159/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 160/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 161/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 162/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 163/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 164/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 165/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 166/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 167/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 168/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 169/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 170/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 171/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 172/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 173/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 174/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 175/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 176/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 177/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 178/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 179/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 180/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 181/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 182/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 183/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 184/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 185/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 186/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 187/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 188/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 189/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 190/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 191/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 192/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 193/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 194/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 195/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 196/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 197/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 198/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 199/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 200/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 201/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 202/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 203/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 204/500, GRPO iter 1/1, loss: 0.0001
